"An error occurred while creating the image.","Ein Fehler traf beim Erzeugen der Bilddatei auf."
"The image does not exist or is invalid.","Das Bild ist nicht vorhanden oder ungültig."
"This content requires last version of Adobe Flash Player. <a href=""%s"">Get Flash</a>","Dieser Inhalt benötigt einen aktuellen Adobe-Flash-Player. <a href=""%s"">Flash Player installieren</a>?"
