"Review","Bewertung"
"Reviews","Bewertungen"
"Reviews for %s","Bewertungen für %s"
"Sales","Verkäufe"
"Sales Report","Verkaufsbericht"
"Search Query","Suchanfrage"
"Search Terms","Beliebte Suchbegriffe"
"Select day of the month.","Wählen Sie einen Tag des Monats."
"Shipping","Versand"
"Shopping Cart","Warenkorb"
"Shopping Cart Price Rule","Preisregel für den Warenkorb"
"Show Actual Values","Aktuelle Werte anzeigen"
"Show Report","Bericht anzeigen"
"Show for Current","Anzeigen für aktuelle(n)"
"Specified","festgelegt"
"Statistics","Statistiken"
"Stock Qty","Lagerbestand"
"Submitted In","Übermittelt in"
"Submitted On","Übermittelt am"
"Subtotal","Zwischensumme"
"Tag","Schlagwort"
"Tag ""%s"" details","Details für Schlagwort ""%e"" "
"Tag Detail","Schlagwortdetails"
"Tag Name","Schlagwortname"
"Tag Use","Schlagwortverwendung"
"Tags Submitted by %s","Schlagworte übermittelt von %s"
"Tags submitted to %s","Schlagworte übermittelt für %s"
"Tax","Steuern"
"Title","Titel"
"To","An"
"Total","Gesamtbetrag"
"Total Invoiced vs. Paid Report","Gesamtgegenüberstellung Berechnet zu Bezahlt"
"Total Ordered Report","Report Gesamtbestellvolumen"
"Total Refunded Report","Gesamtreport zu Rückerstattungen"
"Total Shipped Report","Gesamtreport versendeter Artikel"
"Total Tags","Gesamtanzahl Tags"
"Total invoiced","Insgesamt berechnet"
"Total refunded","Erstatteter Gesamtbetrag"
"Updated At","Aktualisiert am"
"Viewed Products Grid Template","Tabellarische Vorlage für angesehene Artikel"
"Viewed Products List Template","Vorlage für Liste der angesehenen Artikel"
"Visible In","Sichtbar in"
"Wishlist Report","Wunschzettelbericht"
"Wishlist vs. Regular Order","Wunschzettel gg. Bestellungen"
"Wishlists","Wunschzettel"
"Year","Jahr"
"Year-To-Date Starts","Kalenderjahr startet am"
"Yes","Ja"
"Your Recently Compared","Ihre zuletzt verglichenen Artikel"
"Your Recently Viewed","Ihre zuletzt angesehenen Artikel"
"undefined","nicht definiert"
